"key","creationDate","modificationDate","de","en"
"members.restriction.refused",1500539187,1500539187,"Zugang zur gewünschten Seite ist gesperrt.","You have no access rights to view the requested page."
"members.auth.login.username",1500539187,1500539187,"Benutzername","Username"
"members.auth.login.password",1500539187,1500539187,"Passwort","Password"
"members.auth.login.remember_me",1500539187,1500539187,"Angemeldet bleiben","Remember me"
"members.auth.login.submit",1500539187,1500539187,"Anmelden","Log In"
"members.profile.show.username",1500539187,1500539187,"Benutzername","Username"
"members.profile.show.email",1500539187,1500539187,"E-Mail","Email"
"members.profile.edit.submit",1500539187,1500539187,"Benutzer aktualisieren","Update"
"members.profile.flash.updated",1500539187,1500539187,"Das Benutzerprofil wurde aktualisiert.","The profile has been updated."
"members.change_password.submit",1500539187,1500539187,"Passwort ändern","Change password"
"members.change_password.flash.success",1500539187,1500539187,"Das Passwort wurde geändert.","The password has been changed."
"members.registration.check_email",1500539187,1500539187,"Eine E-Mail wurde an %email% gesendet. Sie enthält einen Link, den Sie anklicken müssen, um Ihr Benutzerkonto zu bestätigen.","An email has been sent to %email%. It contains an activation link you must click to activate your account."
"members.registration.check_admin",1500539187,1500539187,"Ihr Account wurde erfolgreich erstellt und wird so schnell wie möglich von einem Administrator freigeschaltet.","Your account was created successfully and must be activated by site stuff."
"members.registration.confirmed",1500539187,1500539187,"Glückwunsch %username%, Ihr Benutzerkonto ist jetzt bestätigt.","Congrats %username%, your account is now activated."
"members.registration.back",1500539187,1500539187,"Zurück zur ursprünglichen Seite.","Back to the originating page."
"members.registration.submit",1500539187,1500539187,"Registrieren","Register"
"members.registration.flash.user_created",1500539187,1500539187,"Der Benutzer wurde erfolgreich erstellt.","The user has been created successfully."
"members.resetting.check_email",1500539187,1500539187,"Eine E-Mail wurde verschickt. Sie beinhaltet einen Link zum Zurücksetzen des Passwortes. Hinweis: Ein neues Passwort kann nur alle %tokenLifetime% Stunden beantragt werden. Eventuell wurde diese E-Mail als Spam markiert, wenn sie nicht angekommen ist.","An email has been sent. It contains a link you must click to reset your password. Note: You can only request a new password once within %tokenLifetime% hours. If you don't get an email check your spam folder or try again."
"members.resetting.request.username",1500539187,1500539187,"Benutzername oder E-Mail-Adresse","Username or email address"
"members.resetting.request.submit",1500539187,1500539187,"Passwort zurücksetzen","Reset password"
"members.resetting.reset.submit",1500539187,1500539187,"Passwort ändern","Change password"
"members.resetting.flash.success",1500539187,1500539187,"Das Passwort wurde erfolgreich zurückgesetzt.","The password has been reset successfully."
"members.layout.logout",1500539187,1500539187,"Abmelden","Log out"
"members.layout.login",1500539187,1500539187,"Anmelden","Log In"
"members.layout.register",1500539187,1500539187,"Registrieren","Register"
"members.layout.logged_in_as",1500539187,1500539187,"Angemeldet als %username%","Logged in as %username%"
"members.form.username",1500539187,1500539187,"Benuterzname","Username"
"members.form.email",1500539187,1500539187,"E-Mail-Adresse","Email"
"members.form.current_password",1500539187,1500539187,"Derzeitiges Passwort","Current password"
"members.form.password",1500539187,1500539187,"Passwort","Password"
"members.form.password_confirmation",1500539187,1500539187,"Passwort bestätigen","Repeat password"
"members.form.new_password",1500539187,1500539187,"Neues Passwort","New password"
"members.form.new_password_confirmation",1500539187,1500539187,"Neues Passwort bestätigen","Repeat new password"
"members.validation.username.already_used",1500539187,1500539187,"Dieser Benutzername wird bereits verwendet.","The username is already used."
"members.validation.username.blank",1500539187,1500539187,"Bitte geben Sie einen Benutzernamen an.","Please enter a username."
"members.validation.username.short",1500539187,1500539187,"Dieser Benutzername ist zu kurz.","The username is too short."
"members.validation.username.long",1500539187,1500539187,"Dieser Benutzername ist zu lang.","The username is too long."
"members.validation.email.already_used",1500539187,1500539187,"Diese E-Mail-Adresse wird bereits verwendet.","The email is already used."
"members.validation.email.blank",1500539187,1500539187,"Bitte geben Sie eine E-Mail-Adresse an.","Please enter an email."
"members.validation.email.short",1500539187,1500539187,"Diese E-Mail-Adresse ist zu kurz.","The email is too short."
"members.validation.email.long",1500539187,1500539187,"Diese E-Mail-Adresse ist zu lang.","The email is too long."
"members.validation.email.invalid",1500539187,1500539187,"Diese E-Mail-Adresse ist ungültig.","The email is not valid."
"members.validation.password.blank",1500539187,1500539187,"Bitte geben Sie ein Passwort an.","Please enter a password."
"members.validation.password.short",1500539187,1500539187,"Das Passwort ist zu kurz.","The password is too short."
"members.validation.password.mismatch",1500539187,1500539187,"Die Passwörter stimmen nicht überein.","The entered password don't match."
"members.validation.new_password.blank",1500539187,1500539187,"Bitte geben Sie ein neues Passwort an.","Please enter a new password."
"members.validation.new_password.short",1500539187,1500539187,"Das neue Passwort ist zu kurz.","The new password is too short."
"members.validation.current_password.invalid",1500539187,1500539187,"Das angegebene Passwort ist ungültig.","The entered password is invalid."
"members.validation.name.already_used",1500539187,1500539187,"Dieser Name wird bereits verwendet","The name is already used."
